+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 8503  | 0   | 8502 | 0   | 1   | 0   | GET    | /api/announcements                                                                            | 0.004 | 3.108 | 841.404 | 0.099 | 0.216 | 0.336 | 0.740 | 0.148  | 22.000      | 4044.000    | 28869527.000 | 3395.217    |
| 467   | 0   | 458  | 0   | 9   | 0   | POST   | /api/announcements                                                                            | 0.008 | 5.004 | 495.352 | 1.061 | 2.660 | 3.440 | 5.000 | 1.158  | 0.000       | 23.000      | 60.000       | 0.128       |
| 424   | 0   | 423  | 0   | 1   | 0   | GET    | /api/users/me/courses                                                                         | 0.004 | 3.012 | 279.920 | 0.660 | 1.236 | 1.496 | 2.172 | 0.483  | 3.000       | 2726.000    | 899868.000   | 2122.330    |
| 68    | 0   | 17   | 0   | 51  | 0   | GET    | /api/users/me/grades                                                                          | 0.084 | 5.004 | 251.164 | 3.694 | 5.004 | 5.004 | 5.004 | 2.179  | 24273.000   | 25017.000   | 256868.000   | 3777.471    |
| 430   | 0   | 427  | 0   | 3   | 0   | PUT    | /api/users/me/courses                                                                         | 0.004 | 5.000 | 228.968 | 0.532 | 0.996 | 1.976 | 3.372 | 0.626  | 0.000       | 246.000     | 268.000      | 0.623       |
| 1294  | 0   | 1293 | 0   | 1   | 0   | GET    | /api/courses                                                                                  | 0.000 | 0.888 | 62.392  | 0.048 | 0.108 | 0.172 | 0.400 | 0.081  | 3.000       | 8145.000    | 4750876.000  | 3671.465    |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAYDPQQSEKCR7S27KE52/classes                                               | 0.004 | 0.996 | 27.892  | 0.112 | 0.296 | 0.456 | 0.744 | 0.149  | 240.000     | 1443.000    | 206750.000   | 827.000     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAYE56GXZ4GPVR2QWZTD/classes                                               | 0.004 | 0.868 | 27.088  | 0.108 | 0.216 | 0.344 | 0.812 | 0.140  | 258.000     | 1301.000    | 195550.000   | 782.200     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAYE56GXZ4GPVYD03FSF/classes                                               | 0.004 | 1.320 | 26.396  | 0.106 | 0.196 | 0.360 | 0.944 | 0.172  | 283.000     | 1406.000    | 203750.000   | 815.000     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAY8TP2255ZA0MEPT88R/classes                                               | 0.004 | 0.860 | 25.900  | 0.104 | 0.252 | 0.360 | 0.664 | 0.130  | 235.000     | 1466.000    | 216050.000   | 864.200     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAYG38Z947QQX3H4JWH4/classes                                               | 0.004 | 1.324 | 25.740  | 0.103 | 0.224 | 0.444 | 1.040 | 0.173  | 389.000     | 1668.000    | 256400.000   | 1025.600    |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGATR0E2PGT2YFRZV3SNG/classes                                               | 0.004 | 0.896 | 25.556  | 0.102 | 0.212 | 0.332 | 0.620 | 0.120  | 287.000     | 1489.000    | 222250.000   | 889.000     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAYG38Z947QQX43VJWP6/classes                                               | 0.004 | 1.284 | 24.436  | 0.098 | 0.212 | 0.364 | 0.724 | 0.154  | 350.000     | 1500.000    | 234000.000   | 936.000     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAVACYGTXMADF3663R5W/classes                                               | 0.004 | 0.996 | 24.188  | 0.097 | 0.228 | 0.352 | 0.708 | 0.126  | 307.000     | 1353.000    | 204800.000   | 819.200     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAY02K8ZTFVBHSQWRHSH/classes                                               | 0.004 | 0.924 | 23.472  | 0.094 | 0.188 | 0.264 | 0.744 | 0.115  | 258.000     | 1363.000    | 202100.000   | 808.400     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAVBTRQ18ED6E8CHK464/classes                                               | 0.020 | 1.040 | 23.312  | 0.093 | 0.212 | 0.324 | 0.680 | 0.122  | 262.000     | 1310.000    | 202450.000   | 809.800     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAVDJSBF4WMPNGN3HJDG/classes                                               | 0.004 | 0.696 | 23.020  | 0.092 | 0.228 | 0.284 | 0.456 | 0.097  | 266.000     | 1366.000    | 204100.000   | 816.400     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGATMAEFS5H5ZHMQXD2GA/classes                                               | 0.004 | 0.824 | 22.636  | 0.091 | 0.188 | 0.296 | 0.736 | 0.115  | 261.000     | 1432.000    | 217200.000   | 868.800     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAYE56GXZ4GPVVVBDTR9/classes                                               | 0.004 | 1.392 | 22.592  | 0.090 | 0.208 | 0.280 | 0.488 | 0.128  | 209.000     | 1221.000    | 183400.000   | 733.600     |
| 50    | 0   | 50   | 0   | 0   | 0   | POST   | /api/courses/01HFNDGC38CZFWDQM0VREC337W/classes/01HFNDHJXAB9XP6XFWTNAX9K9D/assignments        | 0.044 | 3.028 | 22.496  | 0.450 | 1.076 | 1.564 | 3.028 | 0.577  | 0.000       | 0.000       | 0.000        | 0.000       |
| 58    | 0   | 58   | 0   | 0   | 0   | GET    | /api/announcements/01HFNDGW8YAE8W3YDNYVJH9MA4                                                 | 0.016 | 0.964 | 22.080  | 0.381 | 0.800 | 0.840 | 0.964 | 0.293  | 397.000     | 398.000     | 23034.000    | 397.138     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAYF7BRJARYC72GQF1QA/classes                                               | 0.004 | 1.184 | 21.200  | 0.085 | 0.164 | 0.232 | 0.724 | 0.120  | 283.000     | 1368.000    | 208100.000   | 832.400     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGATQR5PHSW1C00PCXPFA/classes                                               | 0.004 | 0.736 | 20.948  | 0.084 | 0.176 | 0.304 | 0.508 | 0.104  | 250.000     | 1280.000    | 189050.000   | 756.200     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNDGAVG8QDN8P59W0JPC27E/classes                                               | 0.004 | 0.988 | 20.528  | 0.082 | 0.180 | 0.304 | 0.584 | 0.120  | 305.000     | 1331.000    | 197400.000   | 789.600     |
